service_id,date,exception_type
"30_317572","20150108","1"
"30_317572","20150109","1"
"30_317572","20150110","1"
"30_317572","20150112","1"
"30_317572","20150113","1"
"30_317572","20150114","1"
"30_317572","20150115","1"
"30_317572","20150116","1"
"30_317572","20150117","1"
"30_317572","20150119","1"
"30_317572","20150120","1"
"30_317572","20150121","1"
"30_317572","20150122","1"
"30_317572","20150123","1"
"30_317572","20150124","1"
"30_317572","20150126","1"
"30_317572","20150127","1"
"30_317572","20150128","1"
"30_317572","20150129","1"
"30_317572","20150130","1"
"30_317572","20150131","1"
"30_317572","20150202","1"
"30_317572","20150203","1"
"30_317572","20150204","1"
"30_317572","20150205","1"
"30_317572","20150206","1"
"30_317572","20150207","1"
"30_317572","20150209","1"
"30_317572","20150210","1"
"30_317572","20150211","1"
"30_317572","20150212","1"
"30_317572","20150213","1"
"30_317572","20150214","1"
"30_317572","20150216","1"
"30_317572","20150217","1"
"30_317572","20150218","1"
"30_317572","20150219","1"
"30_317572","20150220","1"
"30_317572","20150221","1"
"30_317572","20150223","1"
"30_317572","20150224","1"
"30_317572","20150225","1"
"30_317572","20150226","1"
"30_317572","20150227","1"
"30_317572","20150228","1"
"30_317572","20150302","1"
"30_317572","20150303","1"
"30_317572","20150304","1"
"30_317572","20150305","1"
"30_317572","20150306","1"
"30_317572","20150307","1"
"30_317572","20150309","1"
"30_317572","20150310","1"
"30_317572","20150311","1"
"30_317572","20150312","1"
"30_317572","20150313","1"
"30_317572","20150314","1"
"30_317572","20150316","1"
"30_317572","20150317","1"
"30_317572","20150318","1"
"30_317572","20150319","1"
"30_317572","20150320","1"
"30_317572","20150321","1"
"30_317572","20150323","1"
"30_317572","20150324","1"
"30_317572","20150325","1"
"30_317572","20150326","1"
"30_317572","20150327","1"
"30_317572","20150328","1"
"30_317572","20150330","1"
"30_317572","20150331","1"
"30_317572","20150401","1"
"30_317572","20150402","1"
"30_317572","20150403","1"
"30_317572","20150404","1"
"30_317572","20150407","1"
"30_317572","20150408","1"
